ID,Name,CAS,Formula,Ion Species,Mass (DB),CCS (DB),RT,SD,DT,SD,CCS,SD,m/z,SD,Abundance,RSD,Z,Ions,Freq.,Q Score,Sat.,Mark,POS QCdilution 0 0625 DI2.d.HRdm, POS QCdilution 0 125 DI2.d.HRdm, POS QCdilution 0 25 DI2.d.HRdm, POS QCdilution 0 5 DI2.d.HRdm, POS QCdilution 1 0 DI2.d.HRdm, POS S1P DI2.d.HRdm, POS S1S DI2.d.HRdm, POS S2P DI2.d.HRdm, POS S2S DI2.d.HRdm, POS S3P DI2.d.HRdm, POS S3S DI2.d.HRdm, POS W1P DI2.d.HRdm, POS W1S DI2.d.HRdm, POS W2P DI2.d.HRdm, POS W2S DI2.d.HRdm, POS W3P DI2.d.HRdm, POS W3S DI2.d.HRdm
5409,,,,,,,2.971,,39.46,,235.57,,577.3558,,0.0000054,4.12,1,2,1,92,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,47870.37,0.001,0.001,0.001,0.001,0.001,0.001
5410,,,,,,,2.78,,53.985,,319.12,,1140.5796,,0.0000054,4.12,1,2,1,93.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,43557.96,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5411,,,,,,,0.552,,33.228,,199.35,,455.2858,,0.0000054,4.12,1,2,1,93.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,32303.98,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5412,,,,,,,0.242,,42.086,,251.22,,590.4305,,0.0000054,4.12,1,2,1,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,32293.4,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5413,Cilazprilat,90139-06-3,C20 H27 N3 O5,(M+H)+,389.1951,,0.88,,39.802,,240.25,,390.2029,,0.0000054,4.12,1,2,1,98.5,,FALSE,0.001,0.001,0.001,0.001,43521.5,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5414,5-Oxoavermectin ''1b'' aglycone,,C33 H44 O8,(M+Na)+,568.3036,,1.893,,40.637,,242.51,,591.2911,,0.0000054,4.12,1,2,1,93.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,43436.77,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5415,,,,,,,2.821,,52.852,,312.93,,999.5201,,0.0000054,4.12,1,2,1,90.9,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,47213.15,0.001,0.001
5416,,,,,,,0.223,,49.725,,294.31,,1003.2869,,0.0000054,4.12,1,2,1,93.7,,FALSE,0.001,0.001,0.001,33820.98,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5417,PE(14:1(9Z)/14:1(9Z)),,C33 H62 N O8 P,(M+Na)+,631.4213,,2.512,0.004,31.755,0.161,188.77,0.96,654.4102,0.0006,0.0000054,2.99,1,2,2,82.4,,FALSE,0.001,0.001,0.001,0.001,28811.04,0.001,0.001,10858.04,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5418,Pipercyclobutanamide A,,C34 H38 N2 O6,(M+H)+,570.273,,0.524,0.005,37.185,0.079,221.96,0.47,571.2766,0.0004,0.0000053,2.83,1,2,2,99.5,,FALSE,0.001,0.001,0.001,0.001,0.001,16062.81,19910.82,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5419,,,,,,,0.415,,29.807,,182,,276.2701,,0.0000053,4.12,1,2,1,98.1,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,43135.69,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5420,,,,,,,1.611,0.006,48.177,0.027,285.84,0.16,841.4468,0,0.0000053,2.86,1,2,2,100,,FALSE,0.001,0.001,0.001,0.001,24816.37,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,22296.83
5421,,,,,,,0.237,,36.087,,217.9,,378.8039,,0.0000053,4.12,1,2,1,80.3,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,47282.12,0.001,0.001,0.001,0.001,0.001,0.001
5422,Dithiopyr,97886-45-8,C15 H16 F5 N O2 S2,(M+NH4)+,401.0543,,0.742,,38.743,,233.27,,419.0892,,0.0000053,4.12,1,2,1,84.3,,FALSE,0.001,0.001,0.001,0.001,0.001,29513.72,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5423,"26-(2-Glucosyl-6-acetylglucosyl]-1,3,11,22-tetrahydroxyergosta-5,24-dien-26-oate",155510-76-2,C42 H66 O17,(M+NH4)+,842.43,,0.817,,47.82,,283.61,,860.4601,,0.0000053,4.12,1,2,1,82.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,27110.04,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5424,,,,,,,0.484,,41.591,,247.82,,639.3216,,0.0000053,4.12,1,2,1,99.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,52429.65
5425,E3040 glucuronide,,C22 H25 N3 O7 S,(M+NH4)+,475.1413,,1.926,,27.962,,167.15,,493.1714,,0.0000053,4.12,1,2,1,99.3,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,53236.98,0.001,0.001,0.001,0.001
5426,Spirasine I,106777-13-3,C22 H29 N O3,(M+Na)+,355.2147,,0.604,,32.892,,198.49,,378.2018,,0.0000053,4.12,1,2,1,93.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,25670.84,0.001,0.001,0.001
5427,Istamycin C1,,C19 H37 N5 O6,(M+H)+,431.2744,,0.318,0.003,33.705,0.117,202.55,0.71,432.2816,0.0001,0.0000052,2.84,1,2,2,100,,FALSE,0.001,0.001,0.001,18222.75,0.001,0.001,19120.13,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5428,3-(3'-Methylthio)propylmalic acid,,C8 H14 O5 S,(M+H)+,222.0562,,0.227,,35.347,,218.47,,223.0651,,0.0000052,4.12,1,2,1,97.3,,FALSE,0.001,0.001,0.001,0.001,42545.34,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5429,,,,,,,0.248,0,33.715,0.109,202.73,0.66,424.3648,0.0008,0.0000052,2.84,1,2,2,97.6,,FALSE,0.001,0.001,0.001,0.001,0.001,13059.38,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14131.31,0.001,0.001,0.001
5430,PE 35:02,,C40 H76 N O8 P,(M+Na)+,729.5309,,0.234,,48.602,,288.92,,752.5181,,0.0000052,4.12,1,2,1,83.8,,FALSE,0.001,0.001,0.001,0.001,42502.95,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5431,Cinegalline,20772-38-7,C23 H30 N2 O6,(2M+NH4)+,430.2104,,2.782,,48.659,,288.52,,878.4531,,0.0000052,4.12,1,2,1,97.8,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,52746.14,0.001,0.001,0.001,0.001
5432,,,,,,,1.85,,41.392,,247.15,,580.3119,,0.0000052,4.12,1,2,1,93.7,,FALSE,0.001,0.001,0.001,0.001,0.001,29030.21,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5433,,,,,,,2.757,,36.292,,216.64,,566.2695,,0.0000052,4.12,1,2,1,83.2,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,46417.08,0.001,0.001,0.001,0.001,0.001,0.001
5434,"(3Z,6Z,9Z)-dodecatrienol",,C12 H20 O,(M+NH4)+,180.1514,,0.265,,25.371,,157.47,,198.1873,,0.0000052,4.12,1,2,1,98.8,,FALSE,0.001,0.001,0.001,0.001,42257.2,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5435,abrusoside A,,C36 H54 O10,(M+Na)+,646.3717,,1.055,,41.538,,247.27,,669.3639,,0.0000052,4.12,1,2,1,82.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,51583.38
5436,,,,,,,0.22,0,59.16,0.2,349.35,1.18,1296.3685,0.0051,0.0000052,3.57,1,3,2,82.4,,FALSE,0.001,0.001,0.001,0.001,0.001,25017.67,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,3471.17,0.001
5437,Melampodinin,60295-53-6,C25 H30 O12,(M+H)+,522.1737,,0.988,,34.954,,209,,523.1783,,0.0000052,4.12,1,2,1,92.1,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,52535.66,0.001,0.001,0.001,0.001
5438,,,,,,,0.87,,36.481,,217.9,,552.2172,,0.0000052,4.12,1,2,1,80.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,46246.8,0.001,0.001,0.001,0.001,0.001,0.001
5439,Prupaside,126882-52-8,C27 H36 O12,(M+H)+,552.2207,,0.227,,40.63,,242.85,,553.2269,,0.0000052,4.12,1,2,1,99.6,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,51215.47
5440,,,,,,,1.703,,28.352,,169.22,,525.7549,,0.0000052,4.12,1,2,1,83.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,41865.41,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5441,,,,,,,2.351,,59.351,,350.97,,1145.5476,,0.0000052,4.12,1,2,1,95.6,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,25184.12,0.001,0.001,0.001
5442,"9-(3,4-Dimethoxyphenyl)-2-methoxy-1H-phenalen-1-one",,C22 H18 O4,(M+H)+,346.1205,,0.386,,30.29,,183.23,,347.1266,,0.0000052,4.12,1,2,1,80.6,,FALSE,0.001,0.001,0.001,0.001,0.001,28694.37,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5443,Homocapsaicin,58493-48-4,C19 H29 N O3,(M+Na)+,319.2147,,0.652,0.003,29.765,0.202,180.13,1.24,342.2036,0.0001,0.0000051,3.05,1,2,2,89.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,14040.28,0.001,0.001,0.001,0.001,0.001,35324.93
5444,Notoginsenoside R10,335157-20-5,C30 H50 O9,(M+H)+,554.3455,,2.331,0.001,36.518,0.157,218.1,0.95,555.351,0.0002,0.0000051,2.91,1,2,2,93.7,,FALSE,0.001,0.001,0.001,0.001,15970.79,0.001,0.001,0.001,0.001,0.001,28264.35,0.001,0.001,0.001,0.001,0.001,0.001
5445,,,,,,,2.654,,36.781,,217.82,,856.4475,,0.0000051,4.12,1,2,1,93.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,45300.53,0.001,0.001
5446,,,,,,,2.813,,45.287,,269.17,,744.3603,,0.0000051,4.12,1,2,1,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,44650.38,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5447,Oleandomycin,3922-90-5,C35 H61 N O12,(M+Na)+,687.4194,,1.403,,45.562,,271.05,,710.4109,,0.0000051,4.12,1,2,1,98.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,50694.03
5448,2-Caffeoylisocitrate,,C15 H14 O10,(M+H)+,354.0587,,2.561,,28.716,,173.48,,355.0675,,0.0000051,4.12,1,2,1,82.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,44482.89,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5449,,,,,,,1.47,,52.535,,311.17,,968.5388,,0.0000051,4.12,1,2,1,98.3,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,45233.54,0.001,0.001,0.001,0.001,0.001,0.001
5450,Arginyl-Valine,,C11 H23 N5 O3,(M+Na)+,273.1801,,1.736,,28.129,,171.14,,296.1699,,0.0000051,4.12,1,2,1,86.1,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,51332.43,0.001,0.001,0.001,0.001
5451,"N1,N10-Dicoumaroylspermidine",65715-79-9,C25 H31 N3 O4,(M+Na)+,437.2315,,2.223,,35.245,,211.48,,460.2201,,0.0000051,4.12,1,2,1,99.9,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,50240.55
5452,,,,,,,2.764,,39.104,,231.34,,939.5438,,0.0000051,4.12,1,2,1,93.4,,FALSE,0.001,0.001,0.001,0.001,41133.86,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5453,(S)-N-Methylcanadine,,C21 H24 N O4,(M+Na)+,354.1705,,0.299,,31.521,,190.17,,377.1606,,0.0000051,4.12,1,2,1,82,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,30494.52,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5454,,,,,,,2.892,,44.588,,264.68,,796.3927,,0.000005,4.12,1,2,1,93.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,43989.98,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5455,TRIBOA-glucoside,,C14 H17 N O10,(M+H)+,359.0852,,1.297,,29.462,,177.94,,360.095,,0.000005,4.12,1,2,1,97.6,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,25772.11,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5456,,,,,,,2.289,,45.151,,268.37,,742.3773,,0.000005,4.12,1,2,1,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,44849.7,0.001,0.001,0.001,0.001,0.001,0.001
5457,Acidissiminol epoxide,139165-01-8,C25 H31 N O4,(M+NH4)+,409.2253,,2.414,,26.734,,160.41,,427.2573,,0.000005,4.12,1,2,1,92.5,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,44085.63,0.001,0.001
5458,,,,,,,2.821,,45.522,,269.25,,1019.496,,0.000005,4.12,1,2,1,93.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,50407.26,0.001,0.001,0.001,0.001
5459,,,,,,,0.236,,41.132,,244.56,,707.851,,0.000005,4.12,1,2,1,80.6,,FALSE,0.001,0.001,0.001,0.001,0.001,27730.55,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5460,Sorbitan oleate,1338-43-8,C24 H44 O6,(M+H)+,428.3138,,0.255,,34.369,,206.62,,429.3203,,0.000005,4.12,1,2,1,82.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,40333.08,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5461,,,,,,,0.237,,40.094,,238.55,,678.4887,,0.000005,4.12,1,2,1,82.3,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,23785.45,0.001,0.001,0.001,0.001,0.001
5462,,,,,,,1.891,,26.697,,160.15,,430.176,,0.000005,4.12,1,2,1,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,43818.52,0.001,0.001
5463,YVR (Tryptic Peptide),,C20 H32 N6 O5,(M+H)+,436.2434,202.7,2.42,,33.939,,203.9,,437.2485,,0.000005,4.12,1,2,1,81.4,,FALSE,0.001,0.001,22334.31,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5464,,,,,,,1.695,,29.253,,174.67,,522.7482,,0.000005,4.12,1,2,1,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,43370.81,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5465,,,,,,,1.881,,33.882,,201.14,,718.3414,,0.000005,4.12,1,2,1,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,49049.88
5466,Sertindole,106516-24-9,C24 H26 Cl F N4 O,(M+H)+,440.1779,,0.593,,34.712,,208.52,,441.185,,0.0000049,4.12,1,2,1,82.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,43125.64,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5467,3'-(2''-Galloylglucosyl)-phloroacetophenone,152041-18-4,C21 H22 O13,(M+Na)+,482.106,,0.237,,35.588,,213.01,,505.0988,,0.0000049,4.12,1,2,1,81.4,,FALSE,0.001,0.001,0.001,0.001,40059.72,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5468,,,,,,,1.741,,39.607,,235.49,,701.2136,,0.0000049,4.12,1,2,1,98.7,,FALSE,0.001,0.001,0.001,0.001,40008.55,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5469,Symphytine,22571-95-5,C20 H31 N O6,(M+NH4)+,381.2151,,0.243,,31.642,,190.54,,399.2471,,0.0000049,4.12,1,2,1,90.9,,FALSE,0.001,0.001,0.001,31128.9,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5470,Varanic acid,1061-64-9,C27 H46 O6,(M+Na)+,466.3294,,0.226,,37.039,,221.95,,489.3156,,0.0000049,4.12,1,2,1,96.5,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,39889.39,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5471,,,,,,,2.811,,29.055,,173.71,,496.7679,,0.0000049,4.12,1,2,1,81.6,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,48718.71
5472,Scillarenin,,C24 H32 O4,(M+NH4)+,384.2301,,0.313,,32.059,,193.02,,402.2616,,0.0000049,4.12,1,2,1,80.1,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,48713.11
5473,Letrozole,112809-51-5,C17 H11 N5,(M+NH4)+,285.1014,,0.439,,31.984,,194.6,,303.1356,,0.0000049,4.12,1,2,1,96.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,48678.45
5474,Isoleucyl-Phenylalanine,,C15 H22 N2 O3,(M+Na)+,278.163,,1.611,,29.497,,179.4,,301.1506,,0.0000049,4.12,1,2,1,82.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,43746.57,0.001,0.001,0.001,0.001,0.001,0.001
5475,Cilazprilat,90139-06-3,C20 H27 N3 O5,(M+Na)+,389.1951,,0.882,,32.932,,198.16,,412.1857,,0.0000049,4.12,1,2,1,99.9,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,42818.19,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5476,,,,,,,2.519,0.002,34.443,0.058,204.56,0.35,707.8515,0.0011,0.0000049,2.93,1,2,2,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,27066.13,0.001,15993.57,0.001,0.001,0.001,0.001,0.001,0.001
5477,Licoricesaponin E2,119418-01-8,C42 H60 O16,(M+Na)+,820.3881,,2.814,,47.771,,283.41,,843.3751,,0.0000049,4.12,1,2,1,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,43618.86,0.001,0.001,0.001,0.001,0.001,0.001
5478,Sudan I,842-07-9,C16 H12 N2 O,(M+Na)+,248.095,,2.599,,26.179,,159.8,,271.085,,0.0000049,4.12,1,2,1,85.2,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,43132.92,0.001,0.001
5479,Polidocanol,3055-99-0,C30 H62 O10,(M+NH4)+,582.4343,,0.244,,42.745,,255.08,,600.4702,,0.0000049,4.12,1,2,1,89.8,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,29432.87,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5480,Goyasaponin III,333333-27-0,C49 H76 O19,(M+NH4)+,968.4981,,1.779,,50.535,,299.19,,986.5383,,0.0000049,4.12,1,2,1,89.5,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,42671.74,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5481,Eucommin A,99633-12-2,C27 H34 O12,(M+H)+,550.205,,0.869,,38.687,,231.18,,551.2097,,0.0000049,4.12,1,2,1,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,43075.92,0.001,0.001
5482,PC(14:0/14:1(9Z)),,C36 H71 N O8 P,(M+NH4)+,676.4917,,0.23,,47.104,,280.4,,694.5246,,0.0000049,4.12,1,2,1,85.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,23820.39,0.001,0.001,0.001
5483,,,,,,,1.703,,50.434,,298.34,,1050.5025,,0.0000049,4.12,1,2,1,93.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,48333.45
5484,D-Biotin,58-85-5,C10 H16 N2 O3 S,(M+H)+,244.0882,,0.455,,24.066,,147.51,,245.096,,0.0000049,4.12,1,2,1,82.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,42532.13,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5485,Chikusetsusaponin Ia,,C41 H70 O12,(M+NH4)+,754.4867,,0.612,,48.654,,289.1,,772.5202,,0.0000049,4.12,1,2,1,100,,FALSE,0.001,0.001,0.001,0.001,0.001,27086.53,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5486,,,,,,,2.622,,52.463,,310.15,,1122.5512,,0.0000049,4.12,1,2,1,93.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,42411.48,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5487,,,,,,,0.395,,40.5,,241.45,,618.3471,,0.0000049,4.12,1,2,1,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,42839.21,0.001,0.001
5488,3-Methyluric acid,605-99-2,C6 H6 N4 O3,(M+NH4)+,182.044,,1.648,,26.076,,161.79,,200.078,,0.0000049,4.12,1,2,1,82.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,42379.61,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5489,,,,,,,1.782,0.121,45.213,0.165,268.35,0.98,806.41,0.0041,0.0000049,3.4,1,2,2,97.2,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,7784.331,0.001,0.001,0.001,0.001,0.001,0.001,0.001,39261.15
5490,Butopyronoxyl,532-34-3,C12 H18 O4,(M+NH4)+,226.1205,,0.693,,26.082,,160.03,,244.1532,,0.0000049,4.12,1,2,1,92.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,23964.44,0.001
5491,,,,,,,0.867,0.161,47.833,0.138,284.83,0.82,685.4383,0.0001,0.0000049,2.89,1,2,2,86.8,,FALSE,0.001,0.001,0.001,0.001,15483.97,0.001,0.001,0.001,25668.21,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5492,,,,,,,2.258,,36.914,,219.77,,640.1113,,0.0000048,4.12,1,2,1,99,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,39288.77,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5493,,,,,,,2.256,,38.745,,230.6,,661.1588,,0.0000048,4.12,1,2,1,82.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,42070.74,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5494,Cilazapril,92077-78-6,C22 H31 N3 O5,(M+H)+,417.2264,,0.929,,33.009,,198.54,,418.2344,,0.0000048,4.12,1,2,1,85.9,,FALSE,0.001,0.001,0.001,0.001,0.001,26828.2,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
5495,AM-580,102121-60-8,C22 H25 N O3,(M+Na)+,351.1834,,0.911,,30.262,,182.56,,374.1741,,0.0000048,4.12,1,2,1,82.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,48680.41,0.001,0.001,0.001,0.001
5496,Pimozide,2062-78-4,C28 H29 F2 N3 O,(M+Na)+,461.2279,,2.283,,33.529,,200.83,,484.2162,,0.0000048,4.12,1,2,1,97.4,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,42419.36,0.001,0.001
5497,Acidissiminol epoxide,139165-01-8,C25 H31 N O4,(M+NH4)+,409.2253,,2.406,,33.665,,202.38,,427.2571,,0.0000048,4.12,1,2,1,92.9,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,48530.33,0.001,0.001,0.001,0.001
5498,"3,5-Dihydroxyphenyl 1-O-(6-O-galloyl-beta-D-glucopyranoside)",94356-21-5,C19 H20 O12,(M+H)+,440.0955,,1.835,0.006,32.504,0.026,195.16,0.16,441.1036,0.0005,0.0000048,3.09,1,2,2,91.7,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,7087.669,0.001,0.001,0.001,16609.81,0.001,0.001,0.001
5499,PE(14:0/22:1(13Z)),,C41 H80 N O8 P,(M+H)+,745.5622,,0.366,,45.918,,272.93,,746.5673,,0.0000048,4.12,1,2,1,90,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,23202.69,0.001,0.001,0.001
5500,,,,,,,0.243,,33,,198.72,,402.9793,,0.0000048,4.12,1,2,1,95.6,,FALSE,0.001,0.001,0.001,0.001,38575.7,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
